,index,lived,name
183,RUS,0,Russian Federation
184,RWA,0,Rwanda
185,BLM,0,Saint Barthélemy
186,SHN,0,"Saint Helena, Ascension and Tristan da Cunha"
187,KNA,0,Saint Kitts and Nevis
188,LCA,0,Saint Lucia
189,MAF,0,Saint Martin (French part)
190,SPM,0,Saint Pierre and Miquelon
191,VCT,0,Saint Vincent and the Grenadines
192,WSM,0,Samoa
193,SMR,0,San Marino
194,STP,0,Sao Tome and Principe
195,SAU,0,Saudi Arabia
196,SEN,0,Senegal
197,SRB,0,Serbia
198,SYC,0,Seychelles
199,SLE,0,Sierra Leone
200,SGP,0,Singapore
201,SXM,0,Sint Maarten (Dutch part)
202,SVK,0,Slovakia
203,SVN,0,Slovenia
204,SLB,0,Solomon Islands
205,SOM,0,Somalia
206,ZAF,0,South Africa
207,SGS,0,South Georgia and the South Sandwich Islands
208,SSD,0,South Sudan
209,ESP,0,Spain
210,LKA,0,Sri Lanka
211,SDN,0,Sudan
212,SUR,0,Suriname
213,SJM,0,Svalbard and Jan Mayen
214,SWZ,0,Eswatini
215,SWE,0,Sweden
216,CHE,0,Switzerland
217,SYR,0,Syrian Arab Republic
218,TWN,0,"Taiwan, Province of China"
219,TJK,0,Tajikistan
220,TZA,0,"Tanzania, United Republic of"
221,THA,0,Thailand
222,TLS,0,Timor-Leste
223,TGO,0,Togo
224,TKL,0,Tokelau
225,TON,0,Tonga
226,TTO,0,Trinidad and Tobago
227,TUN,0,Tunisia
228,TUR,0,Türkiye
229,TKM,0,Turkmenistan
230,TCA,0,Turks and Caicos Islands
231,TUV,0,Tuvalu
232,UGA,0,Uganda
233,UKR,0,Ukraine
234,ARE,1,United Arab Emirates
235,GBR,0,United Kingdom of Great Britain and Northern Ireland
236,USA,1,United States of America
237,UMI,0,United States Minor Outlying Islands
238,URY,0,Uruguay
239,UZB,0,Uzbekistan
240,VUT,0,Vanuatu
241,VEN,0,"Venezuela, Bolivarian Republic of"
242,VNM,0,Viet Nam
243,VGB,0,"Virgin Islands, British"
244,VIR,0,"Virgin Islands, U.S."
245,WLF,0,Wallis and Futuna
246,ESH,0,Western Sahara
247,YEM,0,Yemen
248,ZMB,0,Zambia
249,ZWE,0,Zimbabwe
